TempHighF,TempAvgF,TempLowF,DewPointHighF,DewPointAvgF,DewPointLowF,HumidityHighPercent,HumidityAvgPercent,HumidityLowPercent,SeaLevelPressureAvgInches,VisibilityHighMiles,VisibilityAvgMiles,VisibilityLowMiles,WindHighMPH,WindAvgMPH,WindGustMPH
79,56,49,39,44,27,103,68,40,29.59,10,8,0,13,5,31
55,53,29,55,38,24,69,70,41,31.34,10,5,3,8,5,30
79,55,40,48,42,27,101,72,52,31.0,10,6,0,9,5,30
47,48,37,69,40,33,84,76,50,30.02,10,6,0,16,5,30
66,56,40,64,52,45,93,81,47,28.05,10,5,0,22,6,37
66,49,38,82,46,30,77,69,53,30.01,10,6,0,13,4,26
63,56,48,50,46,32,81,67,49,28.58,10,6,2,12,4,35
61,51,40,44,45,34,76,66,45,30.51,10,7,2,16,4,23
69,58,45,54,40,24,83,67,55,30.01,10,6,3,25,5,24
85,60,45,53,49,18,79,69,51,29.3,10,8,1,11,3,29
74,52,41,60,52,29,82,70,54,31.16,10,4,3,14,5,32
70,52,40,45,38,26,93,71,40,29.54,10,6,8,13,5,21
52,39,44,51,48,27,92,63,54,31.15,10,3,0,6,5,28
63,49,35,60,39,28,68,71,43,29.86,10,5,2,15,2,28
72,57,33,62,47,38,81,69,46,29.37,10,6,0,22,3,31
75,57,37,73,47,36,81,75,47,29.29,10,11,3,19,3,22
80,53,38,81,44,30,89,65,46,27.64,10,9,0,8,3,29
84,49,29,73,43,19,95,66,44,30.0,10,7,2,16,1,30
66,52,41,49,50,32,83,63,63,30.41,10,8,4,14,7,25
46,54,45,74,53,29,72,71,50,30.35,10,6,0,21,4,25
84,57,34,49,39,37,80,72,58,29.73,10,3,3,16,7,22
70,47,40,38,51,35,64,73,41,30.12,10,6,5,20,9,28
85,53,38,52,47,39,84,73,49,28.4,10,8,0,24,2,35
67,54,42,61,43,35,86,72,40,29.63,10,9,4,10,3,23
76,52,30,44,49,36,93,67,47,30.56,10,7,3,19,9,30
61,55,36,54,36,30,95,71,49,31.29,10,6,4,12,1,31
66,49,38,54,37,36,79,67,50,28.7,10,4,3,17,4,37
64,57,46,57,39,32,80,68,51,31.1,10,6,0,9,6,21
64,52,38,56,53,22,93,72,43,32.57,10,8,3,16,4,32
59,55,47,61,37,22,71,68,49,30.6,10,6,3,12,4,28
80,54,36,69,49,28,82,69,43,31.48,10,5,5,25,5,21
56,60,43,53,45,32,85,69,47,29.19,10,5,1,15,6,25
71,54,45,70,48,33,62,63,53,29.4,10,7,2,21,1,31
66,51,38,69,54,28,86,77,63,30.15,10,10,0,20,6,34
74,54,34,41,41,26,76,76,49,30.26,10,7,5,16,2,32
76,56,38,56,44,34,80,66,45,30.39,10,3,3,13,6,30
78,52,32,61,52,28,79,70,49,29.97,10,7,0,19,4,25
56,51,44,64,47,29,94,66,54,29.22,10,5,4,15,6,26
67,55,37,58,42,22,85,63,55,28.69,10,6,8,11,7,28
98,51,46,67,45,28,86,72,49,31.49,10,5,0,8,1,32
61,52,29,55,42,32,90,74,49,30.96,10,5,2,15,1,30
58,52,37,53,44,28,83,67,50,28.83,10,6,4,13,4,25
74,52,42,73,41,29,88,76,52,28.54,10,6,3,14,0,34
65,49,45,51,45,29,96,73,52,30.36,10,6,0,14,3,25
61,58,44,64,44,25,104,73,52,28.97,10,10,3,17,4,39
69,53,42,76,48,29,79,76,48,29.5,10,8,5,10,6,29
66,64,31,65,51,28,68,64,50,29.08,10,6,2,13,5,32
71,64,35,59,44,35,89,71,46,30.06,10,2,8,13,3,28
58,62,35,73,40,31,98,71,45,29.43,10,6,4,18,2,25
66,63,40,57,51,24,74,78,57,29.69,10,6,0,22,3,34
81,45,40,65,39,36,82,67,46,30.75,10,5,0,19,3,21
62,57,39,68,44,31,102,66,46,28.55,10,5,2,18,7,35
65,45,49,49,45,34,78,82,53,29.6,10,2,6,12,4,27
65,53,43,63,36,26,81,73,46,30.31,10,8,3,22,4,22
61,56,35,64,40,29,81,75,55,30.34,10,6,1,10,3,29
55,56,35,51,42,35,101,70,49,32.21,10,7,0,7,5,31
60,51,40,56,47,37,91,74,46,30.42,10,11,0,14,6,30
67,59,37,65,45,26,73,69,49,29.67,10,9,1,19,3,28
71,57,40,65,42,22,61,69,45,30.34,10,4,1,10,5,31
84,55,36,72,42,23,82,74,54,29.02,10,5,2,16,1,27
54,61,42,58,37,27,69,75,52,29.34,10,6,4,15,7,31
