,Artist,Streams,Daily,As lead,Solo,As feature
0,Drake,"84,660.7",49.796,"56,989.7","32,551.1","27,671.0"
1,Bad Bunny,"67,185.3",45.347,"40,770.4","22,952.6","26,414.8"
2,Taylor Swift,"57,136.6",97.277,"54,855.2","49,763.0","2,281.5"
3,The Weeknd,"53,312.6",45.820,"42,401.2","30,997.4","10,911.4"
4,Ed Sheeran,"47,777.7",17.885,"42,658.7","33,820.8","5,118.9"
5,Justin Bieber,"47,376.2",18.993,"27,891.5","17,128.0","19,484.7"
6,Eminem,"41,873.7",20.067,"35,347.0","21,498.3","6,526.6"
7,Ariana Grande,"39,972.9",19.006,"33,113.3","23,236.3","6,859.6"
8,J Balvin,"38,669.8",11.417,"17,399.7","5,688.6","21,270.1"
9,Post Malone,"37,838.4",21.098,"34,344.8","18,848.3","3,493.6"
10,Kanye West,"37,479.4",23.680,"27,061.2","17,938.3","10,418.3"
11,Travis Scott,"37,197.1",38.037,"18,626.1","14,855.1","18,571.0"
12,BTS,"35,658.5",15.095,"31,945.8","28,902.7","3,712.7"
13,Rihanna,"35,347.0",19.966,"25,259.1","16,655.3","10,087.9"
14,Ozuna,"33,207.6",13.345,"13,907.8","6,210.7","19,299.8"
15,Juice WRLD,"32,228.2",13.797,"23,537.7","18,216.3","8,690.6"
16,Future,"30,856.1",20.878,"15,315.9","7,266.2","15,540.2"
17,Nicki Minaj,"30,505.5",15.354,"10,440.3","5,953.0","20,065.2"
18,Kendrick Lamar,"29,694.7",16.680,"19,960.6","12,155.8","9,734.1"
19,Billie Eilish,"29,017.8",20.783,"29,017.8","25,098.9",
20,XXXTENTACION,"28,285.7",10.896,"24,606.6","20,182.1","3,679.1"
21,Chris Brown,"28,154.2",12.455,"14,791.0","6,972.5","13,363.2"
22,Imagine Dragons,"27,975.3",16.227,"26,308.9","22,441.4","1,666.4"
23,Khalid,"27,696.3",8.925,"14,747.9","9,737.6","12,948.5"
24,Coldplay,"27,410.9",14.792,"25,047.5","22,233.3","2,363.4"
25,Bruno Mars,"27,315.6",16.852,"20,784.3","17,110.1","6,531.3"
26,Dua Lipa,"27,123.4",15.861,"17,713.2","14,056.9","9,410.2"
27,Daddy Yankee,"27,076.1",13.074,"12,390.0","6,344.1","14,686.1"
28,Lil Wayne,"26,567.5",10.776,"9,970.9","2,774.1","16,596.6"
29,David Guetta,"25,104.3",14.768,"18,432.4","1,331.3","6,671.8"
30,Lil Baby,"23,561.3",13.763,"11,540.2","5,283.1","12,021.1"
31,Anuel AA,"23,542.7",14.568,"10,709.5","3,204.7","12,833.2"
32,Maroon 5,"23,324.2",10.318,"23,129.7","14,819.8",194.4
33,21 Savage,"22,914.7",21.453,"9,111.7","4,795.4","13,802.9"
34,Maluma,"22,626.5",10.928,"12,445.0","7,716.7","10,181.5"
35,Lil Uzi Vert,"22,594.9",12.234,"14,589.8","11,737.2","8,005.0"
36,Beyoncé,"21,874.5",12.898,"17,978.5","13,599.3","3,896.0"
37,Shawn Mendes,"21,851.6",7.647,"21,264.4","16,317.3",587.2
38,Calvin Harris,"21,775.1",11.497,"20,161.5","3,572.4","1,613.6"
39,Young Thug,"21,468.6",10.239,"7,336.7","1,856.4","14,132.0"
40,Rauw Alejandro,"21,140.4",17.846,"11,437.9","4,254.9","9,702.5"
41,Sam Smith,"21,058.3",9.820,"18,007.1","13,538.4","3,051.2"
42,J. Cole,"20,960.1",12.011,"16,036.4","12,825.0","4,923.6"
43,Sia,"20,856.6",8.181,"14,261.4","10,371.1","6,595.2"
44,Farruko,"20,711.9",7.778,"5,648.3","3,147.6","15,063.6"
45,Lana Del Rey,"19,851.3",24.212,"18,025.6","16,227.5","1,825.6"
46,Queen,"19,651.4",9.049,"19,599.0","18,107.7",52.4
47,Nicky Jam,"19,242.2",5.799,"7,759.7","2,039.1","11,482.5"
48,Selena Gomez,"19,085.8",11.498,"11,476.9","8,212.1","7,608.9"
49,Halsey,"18,986.4",6.615,"10,479.7","9,258.6","8,506.7"
50,Harry Styles,"18,806.5",13.208,"18,806.5","18,806.5",
51,Lady Gaga,"18,676.1",9.759,"18,278.2","12,089.1",398.0
52,One Direction,"18,650.3",8.871,"18,650.3","18,568.9",
53,Ty Dolla $ign,"18,247.7",4.733,"3,916.7",274.3,"14,331.0"
54,Myke Towers,"18,152.8",17.426,"5,828.5","3,858.9","12,324.3"
55,Adele,"17,840.0",11.278,"17,797.8","17,673.5",42.2
56,Doja Cat,"17,624.8",18.038,"14,206.0","9,786.6","3,418.8"
57,KAROL G,"17,505.8",29.119,"12,094.4","5,460.3","5,411.4"
58,Wiz Khalifa,"17,492.2",5.600,"8,033.3","3,061.9","9,458.9"
59,The Chainsmokers,"17,423.4",5.043,"17,006.4","3,062.3",417.1
60,Shakira,"17,169.3",13.033,"13,054.5","6,049.0","4,114.8"
61,Cardi B,"16,967.6",5.105,"7,817.9","3,108.7","9,149.8"
62,Katy Perry,"16,820.2",8.535,"14,612.7","11,082.4","2,207.5"
