,artist,artist_id
0,Drake,3TVXtAsR1Inumwj472S9r4
1,Bad Bunny,4q3ewBCX7sLwd24euuV69X
2,Taylor Swift,06HL4z0CvFAxyc27GXpf02
3,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ
4,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V
5,Justin Bieber,1uNFoZAHBGtllmzznpCI3s
6,Eminem,7dGJo4pcD2V6oG8kP0tJRR
7,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR
8,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5
9,Post Malone,246dkjvS1zLTtiykXe5h60
10,Kanye West,5K4W6rqBFWDnAN6FQUkS6x
11,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY
12,BTS,3Nrfpe0tUJi4K4DXYWgMUX
13,Rihanna,5pKCCKE2ajJHZ9KAiaK11H
14,Ozuna,1i8SpTcr7yvPOmcqrbnVXY
15,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz
16,Future,1RyvyyTE3xzB2ZywiAwp0i
17,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh
18,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg
19,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH
20,XXXTENTACION,15UsOTVnJzReFVN1VCnxy4
21,Chris Brown,7bXgB6jMjp9ATFy66eO08Z
22,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q
23,Khalid,6LuN9FCkKOj5PcnpouEgny
24,Coldplay,4gzpq5DPGxSnKTe4SA8HAU
25,Bruno Mars,0du5cEVh5yTK9QJze8zA0C
26,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we
27,Daddy Yankee,4VMYDCV2IEDYJArk749S6m
28,Lil Wayne,55Aa2cqylxrFIXC767Z865
29,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai
30,Lil Baby,5f7VJjfbwm532GiveGC0ZK
31,Anuel AA,2R21vXR83lH98kGeO99Y66
32,Maroon 5,04gDigrS5kc9YWfZHwBETP
33,21 Savage,1URnnhqYAYcrqrcwql10ft
34,Maluma,1r4hJ1h58CWwUQe3MxPuau
35,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz
36,Beyoncé,6vWDO969PvNqNYHIOW5v0m
37,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr
38,Calvin Harris,7CajNmpbOovFoOoasH2HaY
39,Young Thug,50co4Is1HCEo8bhOyUWKpn
40,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq
41,Sam Smith,2wY79sveU1sp5g7SokKOiI
42,J. Cole,6l3HvQ5sa6mXTsMTB19rO5
43,Sia,5WUlDfRSoLAfcVSX1WnrxN
44,Farruko,329e4yvIujISKGKz1BZZbO
45,Lana Del Rey,00FQb4jTyendYWaN8pK0wa
46,Queen,1dfeR4HaWDbWqFHLkxsg1d
47,Nicky Jam,1SupJlEpv7RS2tPNRaHViT
48,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx
49,Halsey,26VFTg2z8YR0cCuwLzESi2
50,Harry Styles,6KImCVD70vtIoJWnq6nGn3
51,Lady Gaga,1HY2Jd0NmPuamShAr6KMms
52,One Direction,4AK6F7OLvEQ5QYCBNiQWHq
53,Ty Dolla $ign,7c0XG5cIJTrrAgEC3ULPiq
54,Myke Towers,7iK8PXO48WeuP03g8YR51W
55,Adele,4dpARuHxo51G3z768sgnrY
56,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5
57,KAROL G,790FomKkXshlbRYZFtlgla
58,Wiz Khalifa,137W8MRPWKqSmrBGDBFSop
59,The Chainsmokers,69GGBxA162lTqCwzJG5jLp
60,Shakira,0EmeFodog0BfCgMzAIvKQp
61,Cardi B,4kYSro6naA4h99UJvo89HB
62,Katy Perry,6jJ0s89eD6GaHleKKya26X
63,SZA,7tYKF4w9nC0nq9CsPZTHyP
64,The Beatles,3WrFJ7ztbogyGnTHbHJFl2
65,Marshmello,64KEffDW9EtZ1y2vBYgq8T
66,Linkin Park,6XyY86QOPPrYVGvF9ch6wz
67,DaBaby,4r63FhuTkUYltbVAg5TQnk
68,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF
69,Gunna,2hlmm7s2ICUX0LVIhVFlZQ
70,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH
71,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6
72,JAY-Z,3nFkdlSjzX9mRTtwJOzDYB
73,Avicii,1vCWHaC5f2uS3yhpwWbIA6
74,Kygo,23fqKkggKUBHNkbKtXEls4
75,Quavo,0VRj0yCOv2FXJNP47XQnx5
76,A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca
77,Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx
78,Pitbull,0TnOYISbd1XYRBk9myaseg
79,Sech,77ziqFxp5gaInVrF2lj4ht
80,Tyga,5LHRHt1k9lMyONurDHEdrp
81,Feid,2LRoIwlKmHjgvigdNGBHNo
82,Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y
83,Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp
84,Trippie Redd,6Xgp2XMz1fhVYe7i6yNAax
85,Snoop Dogg,7hJcb9fa4alzcOq3EaNPoG
86,Demi Lovato,6S2OmqARrzebs0tKUEyXyp
87,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5
88,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ
89,Frank Ocean,2h93pZq0e7k5yf4dywlkpM
90,"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF
91,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb
92,Big Sean,0c173mlxpT3dSFRgMO8XPh
93,Migos,6oMuImdp5ZcFhWP0ESe6mG
94,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I
95,Mac Miller,4LLpKhyESsyAXpc4laK94U
96,Michael Jackson,3fMbdgg4jU18AjLCKBhRSm
97,Pop Smoke,0eDvMgVFoNV3TpwtrVCoTj
98,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7
99,Swae Lee,1zNqQNIdeOUZHb8zbZRFMX
100,Arcángel,4SsVbpTthjScTS7U2hmr1X
101,Olivia Rodrigo,1McMsnEElThX1knmY4oliG
102,Kodak Black,46SHBwWsqBkxI7EeeBEQG7
103,Sebastian Yatra,07YUOmWljBTXwIseAUd9TW
104,G-Eazy,02kJSzxNuaWGqwubyUba0Z
105,YoungBoy Never Broke Again,7wlFDEWiM5OoIAt8RSli8b
106,Diplo,5fMUXHkw8R8eOP2RNVYEZX
107,Elton John,3PhoLpVuITZKcymswpck5b
108,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z
