index,name,artist,id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,duration_s
0,Dont Worry (its on me) - Radio Edit,Sir William,0FcjlhzxLTUnNseW0aNjrg,24,0.818,0.837,9.0,-5.915,1.0,0.0376,0.00956,0.000412,0.0582,0.737,125.01,audio_features,spotify:track:0FcjlhzxLTUnNseW0aNjrg,https://api.spotify.com/v1/tracks/0FcjlhzxLTUnNseW0aNjrg,https://api.spotify.com/v1/audio-analysis/0FcjlhzxLTUnNseW0aNjrg,201360.0,4.0,201.36
1,Slow It Down,Short Dawg,6GgjPqWh25IVIPNTp1soPd,32,0.426,0.713,7.0,-5.328,1.0,0.36,0.666,0.0,0.24,0.641,77.827,audio_features,spotify:track:6GgjPqWh25IVIPNTp1soPd,https://api.spotify.com/v1/tracks/6GgjPqWh25IVIPNTp1soPd,https://api.spotify.com/v1/audio-analysis/6GgjPqWh25IVIPNTp1soPd,213814.0,4.0,213.814
2,Club Paradise - Remix,Kigity K,30XUZHuO3Zn79Kpe5ylkXI,21,0.611,0.284,2.0,-19.339,1.0,0.08,0.793,6.11e-06,0.147,0.712,92.342,audio_features,spotify:track:30XUZHuO3Zn79Kpe5ylkXI,https://api.spotify.com/v1/tracks/30XUZHuO3Zn79Kpe5ylkXI,https://api.spotify.com/v1/audio-analysis/30XUZHuO3Zn79Kpe5ylkXI,181368.0,4.0,181.368
3,"Chanel Vintage (feat. Future, Young Thug)",Metro Boomin,6y7mf352StjAm4bMDkeMyH,31,0.823,0.704,1.0,-4.74,1.0,0.146,0.0219,0.0,0.116,0.114,135.012,audio_features,spotify:track:6y7mf352StjAm4bMDkeMyH,https://api.spotify.com/v1/tracks/6y7mf352StjAm4bMDkeMyH,https://api.spotify.com/v1/audio-analysis/6y7mf352StjAm4bMDkeMyH,261992.0,4.0,261.992
4,Dedicated,The Game,4HLElWheO0EfBtWQFkeOcG,31,0.703,0.54,9.0,-7.336,1.0,0.198,0.202,0.0,0.183,0.296,119.988,audio_features,spotify:track:4HLElWheO0EfBtWQFkeOcG,https://api.spotify.com/v1/tracks/4HLElWheO0EfBtWQFkeOcG,https://api.spotify.com/v1/audio-analysis/4HLElWheO0EfBtWQFkeOcG,345960.0,4.0,345.96
5,Tanisha (Pump That),Rae Sremmurd,0eeeK1ar71WxdsTKydG9yz,61,0.952,0.567,8.0,-7.067,0.0,0.24,0.203,6.75e-05,0.145,0.668,128.047,audio_features,spotify:track:0eeeK1ar71WxdsTKydG9yz,https://api.spotify.com/v1/tracks/0eeeK1ar71WxdsTKydG9yz,https://api.spotify.com/v1/audio-analysis/0eeeK1ar71WxdsTKydG9yz,166875.0,4.0,166.875
6,Duppy (Diss),Ecstsy,0GHu9LKinW6AFFLWAd6pTI,48,0.593,0.741,1.0,-9.401,1.0,0.194,0.107,0.0,0.195,0.266,93.213,audio_features,spotify:track:0GHu9LKinW6AFFLWAd6pTI,https://api.spotify.com/v1/tracks/0GHu9LKinW6AFFLWAd6pTI,https://api.spotify.com/v1/audio-analysis/0GHu9LKinW6AFFLWAd6pTI,189823.0,4.0,189.823
7,Faster,Lil Tecca,1dH43IEzvkRIFu6HdXWCha,63,0.641,0.511,0.0,-10.264,0.0,0.429,0.242,0.0,0.115,0.462,153.902,audio_features,spotify:track:1dH43IEzvkRIFu6HdXWCha,https://api.spotify.com/v1/tracks/1dH43IEzvkRIFu6HdXWCha,https://api.spotify.com/v1/audio-analysis/1dH43IEzvkRIFu6HdXWCha,129638.0,4.0,129.638
8,Normal,Burna Boy,2qfFETjWq7OFoVOkpDNEHP,47,0.609,0.718,7.0,-7.438,1.0,0.43,0.474,2.35e-06,0.432,0.79,67.266,audio_features,spotify:track:2qfFETjWq7OFoVOkpDNEHP,https://api.spotify.com/v1/tracks/2qfFETjWq7OFoVOkpDNEHP,https://api.spotify.com/v1/audio-analysis/2qfFETjWq7OFoVOkpDNEHP,124819.0,5.0,124.819
9,Wait (Featuring Offset & Vory),Chantel Jeffries,50phRe11Y2nC2N968jVU53,47,0.865,0.529,1.0,-7.756,1.0,0.23,0.769,6.6e-06,0.104,0.649,111.982,audio_features,spotify:track:50phRe11Y2nC2N968jVU53,https://api.spotify.com/v1/tracks/50phRe11Y2nC2N968jVU53,https://api.spotify.com/v1/audio-analysis/50phRe11Y2nC2N968jVU53,169827.0,4.0,169.827
10,B.B. King Freestyle (with Drake),Lil Wayne,6EW1fwOk4JHmTZKINZsyjB,60,0.664,0.553,11.0,-8.316,1.0,0.415,0.455,0.0,0.181,0.722,87.009,audio_features,spotify:track:6EW1fwOk4JHmTZKINZsyjB,https://api.spotify.com/v1/tracks/6EW1fwOk4JHmTZKINZsyjB,https://api.spotify.com/v1/audio-analysis/6EW1fwOk4JHmTZKINZsyjB,222801.0,4.0,222.801
11,Why You Always Hatin?,YG,4ezAjoV01phDz1SqO6SzEU,62,0.925,0.355,0.0,-9.309,0.0,0.55,0.0413,0.0,0.141,0.383,92.988,audio_features,spotify:track:4ezAjoV01phDz1SqO6SzEU,https://api.spotify.com/v1/tracks/4ezAjoV01phDz1SqO6SzEU,https://api.spotify.com/v1/audio-analysis/4ezAjoV01phDz1SqO6SzEU,196587.0,4.0,196.587
12,"Crew REMIX (feat. Gucci Mane, Brent Faiyaz & Shy Glizzy)",GoldLink,5geeTRRcsIg0MS5TvtBtHU,62,0.752,0.705,1.0,-4.893,0.0,0.138,0.125,0.0,0.0919,0.694,129.966,audio_features,spotify:track:5geeTRRcsIg0MS5TvtBtHU,https://api.spotify.com/v1/tracks/5geeTRRcsIg0MS5TvtBtHU,https://api.spotify.com/v1/audio-analysis/5geeTRRcsIg0MS5TvtBtHU,240375.0,4.0,240.375
13,Blessings,Big Sean,1bzM1cd6oqFozdr4wK6HdR,64,0.79,0.621,1.0,-7.634,1.0,0.275,0.333,0.0,0.122,0.15,118.895,audio_features,spotify:track:1bzM1cd6oqFozdr4wK6HdR,https://api.spotify.com/v1/tracks/1bzM1cd6oqFozdr4wK6HdR,https://api.spotify.com/v1/audio-analysis/1bzM1cd6oqFozdr4wK6HdR,252040.0,4.0,252.04
14,Cabaret (feat. Drake),Justin Timberlake,4FcvYEVtmB0UuIPbdzwqsH,44,0.692,0.735,8.0,-5.132,1.0,0.0881,0.106,4.59e-06,0.239,0.333,120.154,audio_features,spotify:track:4FcvYEVtmB0UuIPbdzwqsH,https://api.spotify.com/v1/tracks/4FcvYEVtmB0UuIPbdzwqsH,https://api.spotify.com/v1/audio-analysis/4FcvYEVtmB0UuIPbdzwqsH,272747.0,4.0,272.747
15,Work - R3hab Remix,Rihanna,63OshgWbxCtI1WHb5C0Txd,49,0.706,0.804,1.0,-5.378,0.0,0.0601,0.0125,0.0,0.332,0.211,100.052,audio_features,spotify:track:63OshgWbxCtI1WHb5C0Txd,https://api.spotify.com/v1/tracks/63OshgWbxCtI1WHb5C0Txd,https://api.spotify.com/v1/audio-analysis/63OshgWbxCtI1WHb5C0Txd,219400.0,4.0,219.4
16,Denial,Rae Sremmurd,4MQnXVR8DJvsySuXYuzUtf,53,0.656,0.597,7.0,-7.745,1.0,0.298,0.0861,0.0,0.122,0.277,91.956,audio_features,spotify:track:4MQnXVR8DJvsySuXYuzUtf,https://api.spotify.com/v1/tracks/4MQnXVR8DJvsySuXYuzUtf,https://api.spotify.com/v1/audio-analysis/4MQnXVR8DJvsySuXYuzUtf,180000.0,4.0,180.0
17,Young Boy Problems,Roy Woods,5EdeGgDVwGyo2OFAIKCksW,53,0.487,0.578,1.0,-6.719,1.0,0.107,0.118,2.56e-06,0.161,0.238,160.097,audio_features,spotify:track:5EdeGgDVwGyo2OFAIKCksW,https://api.spotify.com/v1/tracks/5EdeGgDVwGyo2OFAIKCksW,https://api.spotify.com/v1/audio-analysis/5EdeGgDVwGyo2OFAIKCksW,169516.0,4.0,169.516
18,Best Friend - Remix,50 Cent,1wI3UvluGGKUeFeVFsP9do,63,0.545,0.64,10.0,-3.529,0.0,0.308,0.368,0.0,0.111,0.574,181.733,audio_features,spotify:track:1wI3UvluGGKUeFeVFsP9do,https://api.spotify.com/v1/tracks/1wI3UvluGGKUeFeVFsP9do,https://api.spotify.com/v1/audio-analysis/1wI3UvluGGKUeFeVFsP9do,254493.0,4.0,254.493
19,Quarter Past 3,Fredo,1EtbujcET83u1Zitv6Np77,64,0.524,0.744,10.0,-5.236,0.0,0.386,0.17,0.0,0.283,0.479,89.163,audio_features,spotify:track:1EtbujcET83u1Zitv6Np77,https://api.spotify.com/v1/tracks/1EtbujcET83u1Zitv6Np77,https://api.spotify.com/v1/audio-analysis/1EtbujcET83u1Zitv6Np77,175600.0,4.0,175.6
20,Ela É do Tipo (feat. Drake) [Remix],MC Kevin o Chris,5Wcvle7c2jTMh5FFimP6Dw,51,0.576,0.524,6.0,-5.428,1.0,0.24,0.89,0.0,0.108,0.716,99.384,audio_features,spotify:track:5Wcvle7c2jTMh5FFimP6Dw,https://api.spotify.com/v1/tracks/5Wcvle7c2jTMh5FFimP6Dw,https://api.spotify.com/v1/audio-analysis/5Wcvle7c2jTMh5FFimP6Dw,212433.0,3.0,212.433
21,THat Part,ScHoolboy Q,2yJ9GVCLMmzBBfQAnfzlwr,62,0.927,0.535,6.0,-7.59,0.0,0.0911,0.0855,0.0,0.136,0.336,112.96,audio_features,spotify:track:2yJ9GVCLMmzBBfQAnfzlwr,https://api.spotify.com/v1/tracks/2yJ9GVCLMmzBBfQAnfzlwr,https://api.spotify.com/v1/audio-analysis/2yJ9GVCLMmzBBfQAnfzlwr,313573.0,4.0,313.573
22,Sweeterman,Ramriddlz,0qFLzHtnJUIxyUwfqIj8gK,35,0.64,0.33,0.0,-11.684,1.0,0.038,0.791,0.0,0.0911,0.359,97.968,audio_features,spotify:track:0qFLzHtnJUIxyUwfqIj8gK,https://api.spotify.com/v1/tracks/0qFLzHtnJUIxyUwfqIj8gK,https://api.spotify.com/v1/audio-analysis/0qFLzHtnJUIxyUwfqIj8gK,291553.0,4.0,291.553
23,DnF (feat. Drake & Future),Preme,5EMKS6mLi4JprJxy8IGdhT,56,0.707,0.599,0.0,-7.053,0.0,0.305,0.0836,0.0,0.31,0.55,76.881,audio_features,spotify:track:5EMKS6mLi4JprJxy8IGdhT,https://api.spotify.com/v1/tracks/5EMKS6mLi4JprJxy8IGdhT,https://api.spotify.com/v1/audio-analysis/5EMKS6mLi4JprJxy8IGdhT,205387.0,4.0,205.387
24,Big Pimpin' (feat. Luh Tyler),Rich The Kid,2Wu8DmMeHBpsPPom0fEKpS,62,0.681,0.503,2.0,-5.0,1.0,0.279,0.00141,0.0,0.25,0.232,160.126,audio_features,spotify:track:2Wu8DmMeHBpsPPom0fEKpS,https://api.spotify.com/v1/tracks/2Wu8DmMeHBpsPPom0fEKpS,https://api.spotify.com/v1/audio-analysis/2Wu8DmMeHBpsPPom0fEKpS,123576.0,4.0,123.576
